{DISK_USED=91207664, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=85.5%, DISK_FREE=152733712, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=9.0%, DISK_AVAIL=152477712, MEM_FREE=2002067456, CPU_CORE_NUM=4, CPU_TOTAL_USED=14.4%, MEM_USED=6587867136, SYS_TIME=2015-11-09 14:59:14, MEM_FREE_PER=39.90521430969238, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=5.5%, OS_ARCH=x86_64, MEM_USED_PER=60.09478569030762, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207668, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=91.5%, DISK_FREE=152733708, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=4.7%, DISK_AVAIL=152477708, MEM_FREE=2001055744, CPU_CORE_NUM=4, CPU_TOTAL_USED=8.4%, MEM_USED=6588878848, SYS_TIME=2015-11-09 14:59:15, MEM_FREE_PER=39.893436431884766, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=3.7%, OS_ARCH=x86_64, MEM_USED_PER=60.106563568115234, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207668, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=92.1%, DISK_FREE=152733708, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=4.0%, DISK_AVAIL=152477708, MEM_FREE=2001727488, CPU_CORE_NUM=4, CPU_TOTAL_USED=7.8%, MEM_USED=6588207104, SYS_TIME=2015-11-09 14:59:16, MEM_FREE_PER=39.9012565612793, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=3.7%, OS_ARCH=x86_64, MEM_USED_PER=60.0987434387207, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207708, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=82.7%, DISK_FREE=152733668, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=11.4%, DISK_AVAIL=152477668, MEM_FREE=2013380608, CPU_CORE_NUM=4, CPU_TOTAL_USED=17.2%, MEM_USED=6576553984, SYS_TIME=2015-11-09 14:59:17, MEM_FREE_PER=40.036916732788086, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=5.7%, OS_ARCH=x86_64, MEM_USED_PER=59.963083267211914, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207708, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=95.7%, DISK_FREE=152733668, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=1.9%, DISK_AVAIL=152477668, MEM_FREE=2013437952, CPU_CORE_NUM=4, CPU_TOTAL_USED=4.2%, MEM_USED=6576496640, SYS_TIME=2015-11-09 14:59:18, MEM_FREE_PER=40.03758430480957, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.2%, OS_ARCH=x86_64, MEM_USED_PER=59.96241569519043, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207708, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=95.0%, DISK_FREE=152733668, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=2.4%, DISK_AVAIL=152477668, MEM_FREE=2013343744, CPU_CORE_NUM=4, CPU_TOTAL_USED=4.9%, MEM_USED=6576590848, SYS_TIME=2015-11-09 14:59:19, MEM_FREE_PER=40.0364875793457, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.4%, OS_ARCH=x86_64, MEM_USED_PER=59.9635124206543, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207708, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=95.2%, DISK_FREE=152733668, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=2.0%, DISK_AVAIL=152477668, MEM_FREE=2013245440, CPU_CORE_NUM=4, CPU_TOTAL_USED=4.7%, MEM_USED=6576689152, SYS_TIME=2015-11-09 14:59:20, MEM_FREE_PER=40.035343170166016, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.7%, OS_ARCH=x86_64, MEM_USED_PER=59.964656829833984, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207708, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.7%, DISK_FREE=152733668, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.5%, DISK_AVAIL=152477668, MEM_FREE=2012213248, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.2%, MEM_USED=6577721344, SYS_TIME=2015-11-09 14:59:21, MEM_FREE_PER=40.0233268737793, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=1.7%, OS_ARCH=x86_64, MEM_USED_PER=59.9766731262207, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207720, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=96.7%, DISK_FREE=152733656, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.9%, DISK_AVAIL=152477656, MEM_FREE=2012495872, CPU_CORE_NUM=4, CPU_TOTAL_USED=3.2%, MEM_USED=6577438720, SYS_TIME=2015-11-09 14:59:22, MEM_FREE_PER=40.0266170501709, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.2%, OS_ARCH=x86_64, MEM_USED_PER=59.9733829498291, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207724, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=94.5%, DISK_FREE=152733652, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=2.7%, DISK_AVAIL=152477652, MEM_FREE=2013114368, CPU_CORE_NUM=4, CPU_TOTAL_USED=5.4%, MEM_USED=6576820224, SYS_TIME=2015-11-09 14:59:23, MEM_FREE_PER=40.033817291259766, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.7%, OS_ARCH=x86_64, MEM_USED_PER=59.966182708740234, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207724, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=95.9%, DISK_FREE=152733652, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=1.5%, DISK_AVAIL=152477652, MEM_FREE=2014253056, CPU_CORE_NUM=4, CPU_TOTAL_USED=4.0%, MEM_USED=6575681536, SYS_TIME=2015-11-09 14:59:24, MEM_FREE_PER=40.04707336425781, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.5%, OS_ARCH=x86_64, MEM_USED_PER=59.95292663574219, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207724, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.2%, DISK_FREE=152733652, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.7%, DISK_AVAIL=152477652, MEM_FREE=2012360704, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.7%, MEM_USED=6577573888, SYS_TIME=2015-11-09 14:59:25, MEM_FREE_PER=40.02504348754883, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=1.9%, OS_ARCH=x86_64, MEM_USED_PER=59.97495651245117, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207724, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.7%, DISK_FREE=152733652, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.5%, DISK_AVAIL=152477652, MEM_FREE=2012569600, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.2%, MEM_USED=6577364992, SYS_TIME=2015-11-09 14:59:26, MEM_FREE_PER=40.027475357055664, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=1.7%, OS_ARCH=x86_64, MEM_USED_PER=59.972524642944336, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207724, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=95.7%, DISK_FREE=152733652, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=1.7%, DISK_AVAIL=152477652, MEM_FREE=2012983296, CPU_CORE_NUM=4, CPU_TOTAL_USED=4.2%, MEM_USED=6576951296, SYS_TIME=2015-11-09 14:59:27, MEM_FREE_PER=40.032291412353516, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.4%, OS_ARCH=x86_64, MEM_USED_PER=59.967708587646484, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207724, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.2%, DISK_FREE=152733652, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.4%, DISK_AVAIL=152477652, MEM_FREE=2012999680, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.7%, MEM_USED=6576934912, SYS_TIME=2015-11-09 14:59:28, MEM_FREE_PER=40.0324821472168, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.2%, OS_ARCH=x86_64, MEM_USED_PER=59.9675178527832, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207724, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.4%, DISK_FREE=152733652, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.7%, DISK_AVAIL=152477652, MEM_FREE=2013237248, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.5%, MEM_USED=6576697344, SYS_TIME=2015-11-09 14:59:29, MEM_FREE_PER=40.035247802734375, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=1.7%, OS_ARCH=x86_64, MEM_USED_PER=59.964752197265625, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207724, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.2%, DISK_FREE=152733652, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.7%, DISK_AVAIL=152477652, MEM_FREE=2013282304, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.7%, MEM_USED=6576652288, SYS_TIME=2015-11-09 14:59:30, MEM_FREE_PER=40.0357723236084, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=1.9%, OS_ARCH=x86_64, MEM_USED_PER=59.9642276763916, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207728, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.4%, DISK_FREE=152733648, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.5%, DISK_AVAIL=152477648, MEM_FREE=2013302784, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.5%, MEM_USED=6576631808, SYS_TIME=2015-11-09 14:59:31, MEM_FREE_PER=40.0360107421875, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.0%, OS_ARCH=x86_64, MEM_USED_PER=59.9639892578125, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207728, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.2%, DISK_FREE=152733648, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.7%, DISK_AVAIL=152477648, MEM_FREE=2013605888, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.7%, MEM_USED=6576328704, SYS_TIME=2015-11-09 14:59:32, MEM_FREE_PER=40.0395393371582, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.0%, OS_ARCH=x86_64, MEM_USED_PER=59.9604606628418, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207728, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.2%, DISK_FREE=152733648, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.7%, DISK_AVAIL=152477648, MEM_FREE=2013675520, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.7%, MEM_USED=6576259072, SYS_TIME=2015-11-09 14:59:33, MEM_FREE_PER=40.04034996032715, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=1.9%, OS_ARCH=x86_64, MEM_USED_PER=59.95965003967285, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207728, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.2%, DISK_FREE=152733648, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.7%, DISK_AVAIL=152477648, MEM_FREE=2013716480, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.7%, MEM_USED=6576218112, SYS_TIME=2015-11-09 14:59:34, MEM_FREE_PER=40.04082679748535, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=1.9%, OS_ARCH=x86_64, MEM_USED_PER=59.95917320251465, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207728, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.4%, DISK_FREE=152733648, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.5%, DISK_AVAIL=152477648, MEM_FREE=2013859840, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.5%, MEM_USED=6576074752, SYS_TIME=2015-11-09 14:59:35, MEM_FREE_PER=40.04249572753906, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.0%, OS_ARCH=x86_64, MEM_USED_PER=59.95750427246094, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207728, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.7%, DISK_FREE=152733648, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.4%, DISK_AVAIL=152477648, MEM_FREE=2013884416, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.2%, MEM_USED=6576050176, SYS_TIME=2015-11-09 14:59:36, MEM_FREE_PER=40.042781829833984, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=1.7%, OS_ARCH=x86_64, MEM_USED_PER=59.957218170166016, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207728, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=96.5%, DISK_FREE=152733648, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=1.2%, DISK_AVAIL=152477648, MEM_FREE=2014031872, CPU_CORE_NUM=4, CPU_TOTAL_USED=3.4%, MEM_USED=6575902720, SYS_TIME=2015-11-09 14:59:37, MEM_FREE_PER=40.044498443603516, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.2%, OS_ARCH=x86_64, MEM_USED_PER=59.955501556396484, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207728, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.2%, DISK_FREE=152733648, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.9%, DISK_AVAIL=152477648, MEM_FREE=2013007872, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.7%, MEM_USED=6576926720, SYS_TIME=2015-11-09 14:59:38, MEM_FREE_PER=40.03257751464844, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=1.7%, OS_ARCH=x86_64, MEM_USED_PER=59.96742248535156, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207728, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.9%, DISK_FREE=152733648, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.2%, DISK_AVAIL=152477648, MEM_FREE=2013073408, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.0%, MEM_USED=6576861184, SYS_TIME=2015-11-09 14:59:39, MEM_FREE_PER=40.03334045410156, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=1.7%, OS_ARCH=x86_64, MEM_USED_PER=59.96665954589844, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207732, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=95.6%, DISK_FREE=152733644, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=1.7%, DISK_AVAIL=152477644, MEM_FREE=2013126656, CPU_CORE_NUM=4, CPU_TOTAL_USED=4.3%, MEM_USED=6576807936, SYS_TIME=2015-11-09 14:59:40, MEM_FREE_PER=40.03396034240723, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.5%, OS_ARCH=x86_64, MEM_USED_PER=59.96603965759277, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207732, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=95.0%, DISK_FREE=152733644, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=1.9%, DISK_AVAIL=152477644, MEM_FREE=2013237248, CPU_CORE_NUM=4, CPU_TOTAL_USED=4.9%, MEM_USED=6576697344, SYS_TIME=2015-11-09 14:59:41, MEM_FREE_PER=40.035247802734375, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.9%, OS_ARCH=x86_64, MEM_USED_PER=59.964752197265625, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207732, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=94.9%, DISK_FREE=152733644, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=2.5%, DISK_AVAIL=152477644, MEM_FREE=2012573696, CPU_CORE_NUM=4, CPU_TOTAL_USED=5.0%, MEM_USED=6577360896, SYS_TIME=2015-11-09 14:59:42, MEM_FREE_PER=40.027666091918945, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.5%, OS_ARCH=x86_64, MEM_USED_PER=59.972333908081055, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207732, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=97.2%, DISK_FREE=152733644, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=0.9%, DISK_AVAIL=152477644, MEM_FREE=2012594176, CPU_CORE_NUM=4, CPU_TOTAL_USED=2.7%, MEM_USED=6577340416, SYS_TIME=2015-11-09 14:59:43, MEM_FREE_PER=40.02790451049805, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=1.7%, OS_ARCH=x86_64, MEM_USED_PER=59.97209548950195, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
{DISK_USED=91207732, DISK_USED_PER=38.0, CPU_TOTAL_IDLE=96.0%, DISK_FREE=152733644, MEM_TOTAL=8589934592, OS_NAME=Mac OS X, CPU_USER_USED=1.7%, DISK_AVAIL=152477644, MEM_FREE=2013118464, CPU_CORE_NUM=4, CPU_TOTAL_USED=3.9%, MEM_USED=6576816128, SYS_TIME=2015-11-09 14:59:44, MEM_FREE_PER=40.03400802612305, OS_VENDOR=Apple, CPU_CACHE_SIZE=256, CPU_SYS_USED=2.2%, OS_ARCH=x86_64, MEM_USED_PER=59.96599197387695, OS_VERSION=10.11.1, CPU_MHZ=2700, CPU_VENDOR=Intel, DISK_TOTAL=243941376}
